Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GATA3 24758297 ChIP-Seq MCF-7 Human,31/1629,3.85E-04,0.005088172,0,0,2.089379476,16.42472393,CITED2;SLC2A3;FURIN;ABCB9;HIF1A;CENPA;CLN3;RGS3;HLTF;ANXA6;EFHD2;CCR5;GBP2;S100A11;S100A10;DUSP5;UBE2H;ANXA2;IFNGR1;TMEM120A;NKG7;NBEAL2;DHRS1;TEX2;TMEM154;VAMP8;NPC2;SIDT1;PXMP4;VAMP5;TMEM229B
MAF 26560356 Chip-Seq TH1 Human,31/1631,3.94E-04,0.005103241,0,0,2.086538462,16.35862395,SLA;GIMAP4;FURIN;PRDM1;GIMAP5;HIF1A;ACTG1;GLIPR1;GNA15;RGS3;PMVK;BID;S100A11;S100A10;SLAMF1;KDM4A;TPI1;ANXA2;RHOC;SORL1;DUSP7;PNRC2;ID2;EHBP1L1;S100A6;NUCB1;CD226;S100A4;ASB2;SIPA1;SNTB2
FLI1 21571218 ChIP-Seq MEGAKARYOCYTES Human,69/4775,4.30E-04,0.005391426,0,0,1.689391162,13.0940432,HIP1;NARF;FAM89B;CSF1;WIPF1;CITED2;GMFG;NGLY1;SLA;SLC2A3;ICAM1;RCBTB2;PODNL1;RGS3;CHMP1B;EPSTI1;CIR1;OSTF1;JAK2;CTSD;CDK5RAP3;DUSP5;APLP2;F2R;HPCAL1;VPS37B;TEX2;ASRGL1;LZTFL1;MFSD10;DUSP7;TPST2;RNF125;PRPF18;CD226;PLEKHO2;EIF4E2;VAMP5;L3MBTL3;ITPR1;ARHGAP18;ABCB9;TAPBPL;PLD3;GNA15;IRAK2;CCL5;ORMDL3;ANO10;SNX9;BAK1;IL12RB1;BID;S100A11;CTSA;GALNT2;IL10RA;GZMB;NBEAL2;DNAJC15;SNX20;TMEM154;CD7;IL2RB;MXD1;SIPA1;MYO1F;TMEM229B;SNTB2
CEBPB 20176806 ChIP-Seq MACROPHAGES Mouse,29/1492,4.31E-04,0.005391426,0,0,2.12562107,16.47367455,TBC1D9B;HIP1;ITGB3;SLA;PRDM1;LYST;RAP1B;CASP4;CASP1;ANO10;JAK2;GBP2;ENTPD1;UBE2H;DGAT1;TMEM120A;TRIP4;LIME1;SNX20;TMEM154;PNRC2;NPC2;EHBP1L1;SIDT1;UNC119;PXMP4;S100A4;ATF6;VAMP5
SALL4 18804426 ChIP-ChIP XEN Mouse,17/693,6.21E-04,0.007641944,0,0,2.62802729,19.40565804,L3MBTL3;UBE2H;CITED2;APLP2;NGLY1;NKG7;WDR45;TEX2;LITAF;PNRC2;VAMP8;DOK2;SNX2;ORMDL3;ZYX;NCK2;JAK2
SMARCA4 20176728 ChIP-ChIP TSCs Mouse,19/830,6.91E-04,0.00816479,0,0,2.457855046,17.88629075,ANXA2;CITED2;APLP2;F2R;GSTT2;DNAJC15;HIF1A;LITAF;OAZ2;LZTFL1;ICAM1;RGS3;NPC2;ID2;ORMDL3;RIN3;SNX9;MXD1;S100A10
LMO2 20887958 ChIP-Seq HPC-7 Mouse,26/1317,6.95E-04,0.00816479,0,0,2.14230259,15.57854987,TBC1D9B;GMFG;ITGB3;ARHGAP18;ABCB9;PSTPIP1;CXCR3;CCL5;ORMDL3;BAK1;GBP2;CTSD;DUSP5;IL10RA;F2R;SH2D3C;VAMP8;TPST2;DOK2;PINK1;RNF125;ZYX;RAB19;PLEKHO2;MXD1;ATF6
VDR 24763502 ChIP-Seq THP-1 Human,22/1034,6.97E-04,0.00816479,0,0,2.29457743,16.67740196,KDM4A;NARF;DGAT1;CITED2;HPCAL1;AK3;PRDM1;VPS37B;RHOC;FOXO3;LYST;RCBTB2;MFSD10;DOK2;MAF;ID2;ZYX;S100A6;NCK2;S100A4;MXD1;VAMP5
ELK3 25401928 ChIP-Seq HUVEC Human,31/1689,7.09E-04,0.00816479,0,0,2.00713057,14.55639241,FAM89B;FURIN;TAPBPL;ACTG1;CLN3;PSTPIP1;GNA15;RGS3;SESN1;PMVK;CASP4;EFHD2;S100A10;DUSP5;KDM4A;HPCAL1;VPS37B;RHOC;SDCBP2;DUSP7;PNRC2;DOK2;RNF125;EHBP1L1;S100A6;RIN3;PLEKHO2;ATF6;VAMP5;SIPA1;MYO1F
PPARG 20176806 ChIP-Seq THIOMACROPHAGE Mouse,16/645,7.97E-04,0.009046205,0,0,2.650307597,18.907498,DGAT1;IL10RA;TMEM120A;SH2D3C;HPCAL1;SLA;ARHGAP18;UBE2G2;DNAJC15;ASRGL1;ID2;ANXA6;RAB19;PLEKHO2;ASB2;CCR2
IRF8 22096565 ChIP-ChIP GC-B Mouse,13/463,8.14E-04,0.00909556,0,0,2.989304813,21.26331863,CITED2;SLA;TAPBPL;WDR45;CENPA;PNRC2;CCL5;EPSTI1;CASP1;IL12RB1;BID;GBP2;S100A10
GATA2 21571218 ChIP-Seq MEGAKARYOCYTES Human,20/911,8.39E-04,0.009224936,0,0,2.358024691,16.70363452,NARF;INPP1;GALNT2;ITPK1;ITPR1;SLC2A3;FURIN;DHRS1;DUSP7;SNX2;RGS3;RNF138;HLTF;EFHD2;UNC119;JAK2;BID;ATF6;TMEM229B;SNTB2
TTF2 22483619 ChIP-Seq HELA Human,25/1272,9.43E-04,0.010215277,0,0,2.125443923,14.8073904,CSF1;CITED2;NGLY1;ITPR1;WDR45;FOXO3;CENPA;ACTG1;RNF138;ORMDL3;JAK2;S100A10;CTSA;KDM4A;TPI1;DGAT1;SH2D3C;VPS37B;TEX2;DNAJC15;ASRGL1;PNRC2;RNF125;ID2;RANBP10
SA1 27219007 Chip-Seq ERYTHROID Human,30/1646,9.74E-04,0.010395487,0,0,1.985730926,13.76990378,FAM89B;CSF1;SLC2A3;FURIN;PPM1J;ABCB9;SESN1;PMVK;EFHD2;CCR5;BID;CTSD;DUSP5;KDM4A;NMB;TPI1;ITPK1;NBEAL2;ARPC5;VPS37B;LIME1;MFSD10;DUSP7;PINK1;IL2RB;SIDT1;S100A6;S100A4;SIPA1;MYO1F
Nerf2 26677805 Chip-Seq MACROPHAGESS Mouse,21/993,9.98E-04,0.0105008,0,0,2.272501552,15.70241162,ENTPD1;L3MBTL3;TBC1D9B;CITED2;GALNT2;HPCAL1;PRDM1;VPS37B;DNAJC15;HIF1A;LITAF;SORL1;GLIPR1;PSTPIP1;ID2;ZYX;NCK2;PLEKHO2;CTSD;MYO1F;SNTB2
VDR 24787735 ChIP-Seq THP-1 Human,16/663,0.001064172,0.011036986,0,0,2.574154963,17.62152717,KDM4A;L3MBTL3;IFNGR1;GALNT2;ITPR1;ARHGAP18;AK3;PRDM1;VPS37B;FOXO3;LYST;MAF;NCK2;PXMP4;CTSD;VAMP5
TAL1 20887958 ChIP-Seq HPC-7 Mouse,29/1584,0.001111422,0.011364679,0,0,1.989827194,13.5350339,TBC1D9B;CITED2;ITGB3;NGLY1;ITPR1;FURIN;SLA2;HIF1A;OAZ2;RCBTB2;ACTG1;PSTPIP1;CXCR3;SESN1;ORMDL3;DUSP5;PRELID1;IL10RA;UBE2G2;ARPC5;PNRC2;VAMP8;TPST2;DOK2;ZYX;UNC119;RAB19;EIF4E2;MYO1F
KLF4 19829295 ChIP-Seq ESCs Human,29/1593,0.001212578,0.012226833,0,0,1.977400876,13.27825919,L3MBTL3;HIP1;CITED2;SLA;GIMAP4;GIMAP5;LITAF;RCBTB2;HSD11B1;CLN3;GNA15;RGS3;SESN1;CCL5;BAK1;BID;GBP2;DUSP5;TMEM120A;HPCAL1;UBE2G2;VPS37B;TEX2;SYTL2;PNRC2;S100A6;RIN3;SIPA1;SNTB2
GATA1 19941827 ChIP-Seq MEL86 Mouse,28/1519,0.001229934,0.012231943,0,0,1.99901736,13.39500563,HIP1;WIPF1;SLA;SLC2A3;ABCB9;WDR45;FOXO3;LITAF;ICAM1;RAP1B;CHMP1B;NCK2;JAK2;BID;CDK5RAP3;SLAMF1;DUSP5;GALNT2;APLP2;HPCAL1;GZMB;VPS37B;DNAJC15;TMEM154;RNF125;PRPF18;EHBP1L1;CD226
CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse,28/1531,0.001383071,0.013569049,0,0,1.981757415,13.04679856,L3MBTL3;CITED2;ITPR1;GSTT2;AK3;FURIN;FOXO3;HIF1A;CENPA;OAZ2;SH3BGRL;ORMDL3;SNX9;JAK2;ANXA2;F2R;TRAFD1;UBE2G2;ARPC5;MFSD10;VAMP8;TPST2;CD7;RANBP10;ZYX;NUCB1;VAMP5;SNTB2
IRF8 21731497 ChIP-ChIP J774 Mouse,8/219,0.001665388,0.016120953,0,0,3.86828594,24.74812265,ENTPD1;SH3BGRL;WIPF1;CASP1;TAPBPL;MXD1;GBP2;CTSD
VDR 21846776 ChIP-Seq THP-1 Human,15/641,0.002047651,0.019560457,0,0,2.483464295,15.37528129,KDM4A;DGAT1;CITED2;HPCAL1;RHOC;FOXO3;LYST;LIME1;MFSD10;DUSP7;ACTG1;DOK2;PSTPIP1;RANBP10;PXMP4
ATF3 23680149 ChIP-Seq GBM1-GSC Human,29/1652,0.002097236,0.019687465,0,0,1.899352509,11.71356302,CITED2;ITGB3;NGLY1;AK3;GLRX;GIMAP5;GLIPR1;RGS3;IRAK2;ORMDL3;GBP2;CDK5RAP3;S100A10;DUSP5;UBE2H;ANXA2;GALNT2;VPS37B;RHOC;SDCBP2;SORL1;LZTFL1;SYTL2;DUSP7;TMEM154;S100A6;S100A4;MXD1;ASB2
RARB 24833708 ChIP-Seq LIVER Mouse,26/1424,0.002115182,0.019687465,0,0,1.966898525,12.11336947,ITGB3;ARHGAP18;AK3;GIMAP5;LITAF;GIMAP7;HSD11B1;DDT;SESN1;HLTF;ORMDL3;PMVK;CDK5RAP3;DUSP5;PRELID1;ANXA2;DGAT1;ITPK1;F2R;TRAFD1;GZMB;VPS37B;DUSP7;VAMP8;CD7;TMEM229B
SOX9 26525672 Chip-Seq Limbbuds Mouse,20/993,0.0023342,0.021451001,0,0,2.149937193,13.02880455,L3MBTL3;CITED2;IFNGR1;INPP1;ITGB3;HPCAL1;ARHGAP18;ARPC5;TEX2;FOXO3;ACTG1;RAP1B;NPC2;ID2;SESN1;ANXA6;NCK2;ATF6;CDK5RAP3;TMEM229B
E2A 27217539 Chip-Seq RAMOS-Cell Line Human,28/1603,0.002696943,0.024474757,0,0,1.88372093,11.14340812,HIP1;ARHGAP18;DTX1;ABCB9;TAPBPL;PRDM1;FOXO3;LITAF;ICAM1;RGS3;CXCR3;SESN1;ANXA6;BAK1;SLAMF1;DUSP5;IL10RA;SH2D3C;HPCAL1;VPS37B;LIME1;SORL1;TMEM154;TPST2;PRPF18;EHBP1L1;SIPA1;MYO1F
LEF1 29337183 ChIP-Seq mESC Mouse Stem,37/2335,0.003024962,0.02711262,0,0,1.728827949,10.02868339,HIP1;CSF1;CITED2;ITGB3;NGLY1;AK3;CROT;PRDM1;HIF1A;LYST;LITAF;RCBTB2;PSTPIP1;RGS3;IGSF23;SESN1;ORMDL3;NCK2;DUSP5;KDM4A;UBE2H;ANXA2;GALNT2;APLP2;VPS37B;TEX2;SORL1;SYTL2;DUSP7;TMEM154;ID2;SPATA13;RANBP10;MXD1;ATF6;TMEM229B;SNTB2
ZFP281 18757296 ChIP-ChIP E14 Mouse,26/1466,0.003138015,0.027782917,0,0,1.905172414,10.98172763,CITED2;GMFG;DTX1;SLC2A3;GLRX;PPM1J;WDR45;OAZ2;ICAM1;CLN3;RNF138;ORMDL3;PMVK;ANXA6;NCK2;EFHD2;CTSD;UBE2H;ITPK1;NKG7;VAMP8;RNF125;ID2;UNC119;EIF4E2;SNTB2
PU.1 20176806 ChIP-Seq MACROPHAGES Mouse,26/1469,0.003224937,0.028208481,0,0,1.900900901,10.90516812,UNC119B;GMFG;SLA;ARHGAP18;SLC2A3;WDR45;DDT;PMVK;CASP4;CASP1;BID;UBE2H;APLP2;NBEAL2;UBE2G2;RHOC;LIME1;SORL1;MFSD10;DUSP7;VAMP8;MAF;S100A4;EIF4E2;ATF6;SIPA1
SFPI1 20887958 ChIP-Seq HPC-7 Mouse,31/1861,0.003270105,0.028263054,0,0,1.801241634,10.30838532,TBC1D9B;NARF;CITED2;GMFG;ITGB3;ITPR1;ARHGAP18;LYST;PSTPIP1;GNA15;RNF138;IRAK2;CHMP1B;EPSTI1;SNX9;CDK5RAP3;PRELID1;ANXA2;GALNT2;HPCAL1;ARPC5;TMEM154;TPST2;DOK2;RAET1E;ZYX;UNC119;S100A4;EIF4E2;MYO1F;SNTB2
TAL1 21186366 ChIP-Seq BM-HSCs Mouse,26/1477,0.0034668,0.029610551,0,0,1.889596553,10.70366364,L3MBTL3;CITED2;ITGB3;NGLY1;ARHGAP18;GSTT2;PRDM1;FOXO3;HIF1A;LYST;ACTG1;RAP1B;GLIPR1;GNA15;DDT;SESN1;ANXA6;APAF1;IFNGR1;ITPK1;HPCAL1;UBE2G2;TEX2;RAET1E;ID2;RIN3
STAT5 23275557 ChIP-Seq MAMMARY-EPITHELIUM Mouse,18/897,0.003987614,0.033662877,0,0,2.128905224,11.76126963,GBP7;WIPF1;INPP1;TMEM120A;UBE2G2;RHOC;TEX2;SDCBP2;MFSD10;RAP1B;PINK1;NPC2;ID2;CASP4;ZYX;PGLYRP1;GBP2;ATF6
JUND 26020271 ChIP-Seq SMOOTH MUSCLE Human,27/1573,0.004081095,0.033854996,0,0,1.842749142,10.13768178,CITED2;ITGB3;SLA;FOXO3;GNA15;IRAK2;CHMP1B;CXCR3;ORMDL3;PMVK;EPSTI1;OSTF1;GBP2;CTSD;S100A11;DUSP5;NMB;UBE2H;IFNGR1;HIP1R;VPS37B;SDCBP2;SYTL2;SPATA13;S100A6;RIN3;MXD1
FLI1 21867929 ChIP-Seq TH2 Mouse,26/1496,0.004103636,0.033854996,0,0,1.863241848,10.24015714,L3MBTL3;CITED2;ITGB3;NGLY1;ARHGAP18;GSTT2;GLRX;PRDM1;FOXO3;HIF1A;LYST;ACTG1;RAP1B;GLIPR1;DDT;SESN1;APAF1;IFNGR1;HPCAL1;UBE2G2;TEX2;RAET1E;ID2;SPATA13;RIN3;ASB2
FOXA1 26769127 Chip-Seq PDAC-Cell Line Human,28/1658,0.004317992,0.035223173,0,0,1.814666857,9.880797018,ITGB3;PRDM1;FOXO3;HIF1A;LYST;GLIPR1;SESN1;PMVK;SNX9;GBP2;S100A11;S100A10;DUSP5;ANXA2;IL10RA;APLP2;F2R;HIP1R;TRAFD1;ARPC5;PNRC2;RNF125;EHBP1L1;S100A6;RIN3;MXD1;ASB2;ATF6
JUN 26020271 ChIP-Seq SMOOTH MUSCLE Human,27/1587,0.004594646,0.036391109,0,0,1.824811027,9.82270864,CSF1;ITGB3;SLA;FOXO3;GNA15;IRAK2;CHMP1B;CXCR3;ORMDL3;EPSTI1;NCK2;GBP2;CTSD;S100A11;DUSP5;ANXA2;APAF1;IFNGR1;HIP1R;VPS37B;SDCBP2;SYTL2;S100A6;RIN3;MXD1;ASB2;VAMP5
EKLF 21900194 ChIP-Seq ERYTHROCYTE Mouse,20/1055,0.004608696,0.036391109,0,0,2.014492754,10.8375891,UBE2H;TPI1;IFNGR1;GALNT2;AK3;UBE2G2;DNAJC15;ASRGL1;PLD3;ACTG1;TPST2;SPATA13;EHBP1L1;RANBP10;ZYX;EFHD2;UNC119;BAK1;MXD1;VAMP5
KDM2B 26808549 Chip-Seq SUP-B15 Human,28/1666,0.004611546,0.036391109,0,0,1.805008945,9.709490085,HIP1;FAM89B;CSF1;WIPF1;CITED2;SLA;ARHGAP18;DTX1;PPM1J;FOXO3;ACTG1;PSTPIP1;GNA15;EFHD2;PRELID1;ANXA2;GALNT2;APLP2;ITPK1;HIP1R;VPS37B;LIME1;SORL1;MAF;ID2;EHBP1L1;CD7;SIPA1
RARG 19884340 ChIP-ChIP MEFs Mouse,9/317,0.004748007,0.037065084,0,0,2.982049364,15.95405475,TPST2;DGAT1;NCK2;S100A4;FURIN;RHOC;CTSD;RCBTB2;SNTB2
RARA 24833708 ChIP-Seq LIVER Mouse,25/1437,0.0048178,0.037209821,0,0,1.860380413,9.925943964,ITGB3;GLRX;OAZ2;HSD11B1;GNA15;SESN1;HLTF;ORMDL3;EFHD2;SNX9;CDK5RAP3;S100A10;ENTPD1;PRELID1;DGAT1;GALNT2;F2R;HPCAL1;HIP1R;TRAFD1;UBE2G2;VPS37B;UNC119;EIF4E2;TMEM229B
SOX17 20123909 ChIP-Seq XEN Mouse,24/1363,0.004946477,0.037801499,0,0,1.880066535,9.981422986,L3MBTL3;CITED2;APLP2;HIP1R;SLA;PRDM1;TEX2;TMEM154;ACTG1;PNRC2;CLN3;GLIPR1;PRPF18;PMVK;RANBP10;ZYX;NCK2;SNX9;OSTF1;CCR5;MXD1;EIF4E2;SIPA1;CCR2
KLF4 26769127 Chip-Seq PDAC-Cell Line Human,28/1678,0.005083402,0.038443225,0,0,1.790697674,9.458061533,FURIN;PPM1J;LYST;RAP1B;PMVK;EFHD2;CTSD;S100A11;DUSP5;GALNT2;APLP2;ITPK1;HPCAL1;HIP1R;NBEAL2;UBE2G2;ARPC5;DNAJC15;SORL1;ASRGL1;PNRC2;VAMP8;PINK1;EHBP1L1;S100A6;RIN3;S100A4;ATF6
ELF3 26769127 Chip-Seq PDAC-Cell Line Human,28/1680,0.005165869,0.038664136,0,0,1.788332676,9.416790926,FAM89B;ITGB3;FURIN;LYST;LITAF;RCBTB2;HSD11B1;CLN3;BID;CTSD;S100A11;KDM4A;GALNT2;APLP2;F2R;HIP1R;ARPC5;SORL1;PNRC2;PINK1;LPCAT4;ID2;S100A6;S100A4;PLEKHO2;ASB2;ATF6;SIPA1
CEBPB 26923725 Chip-Seq MACROPHAGESS Mouse,25/1450,0.005394633,0.039964323,0,0,1.842105263,9.620119659,GIMAP5;CENPA;GIMAP7;OAZ2;ACTG1;RAP1B;GNA15;RGS3;CHMP1B;CASP4;CASP1;NCK2;SNX9;CCR5;ANXA2;GALNT2;TMEM120A;TRAFD1;TEX2;SNX20;MFSD10;PINK1;CD7;IL2RB;VAMP5
GATA3 26560356 Chip-Seq TH1 Human,26/1539,0.005917134,0.043392312,0,0,1.80604113,9.264816087,NARF;WIPF1;FURIN;PRDM1;FOXO3;HIF1A;GIMAP7;PLD3;HSD11B1;GNA15;SNX2;PODNL1;ANO10;GBP2;S100A11;SLAMF1;UBE2H;GALNT2;TMEM120A;HIP1R;UBE2G2;SNX20;SDCBP2;SIDT1;CD226;TMEM229B
SPI1 23127762 ChIP-Seq K562 Human,21/1157,0.006065931,0.044038659,0,0,1.927492328,9.839977943,DUSP5;L3MBTL3;HIP1;GALNT2;PPM1J;ARPC5;RHOC;FOXO3;ASRGL1;OAZ2;ICAM1;GLIPR1;CHMP1B;EFHD2;ANO10;PLEKHO2;OSTF1;BID;VAMP5;CDK5RAP3;S100A11
KAP1 22055183 ChIP-Seq ESCs Mouse,19/1009,0.006129081,0.044056562,0,0,1.994475138,10.16127336,GALNT2;APLP2;TMEM120A;SH2D3C;ARPC5;TEX2;FOXO3;LITAF;CENPA;SDCBP2;OAZ2;ACTG1;PINK1;RNF125;RAET1E;CHMP1B;RANBP10;CTSD;CCR2
NR3C1 23031785 ChIP-Seq PC12 Mouse,15/730,0.006779386,0.048223415,0,0,2.164241164,10.8079364,DUSP5;APAF1;CITED2;ITPK1;FURIN;UBE2G2;FOXO3;LITAF;SORL1;RNF125;IRAK2;ID2;S100A6;BAK1;CTSD
KDM2B 26808549 Chip-Seq HPB-ALL Human,27/1636,0.006841614,0.048223415,0,0,1.764485894,8.795488604,L3MBTL3;DTX1;FURIN;PRDM1;ICAM1;RCBTB2;ACTG1;SESN1;EFHD2;BID;CTSD;S100A10;APAF1;GALNT2;IL10RA;APLP2;ITPK1;HIP1R;ARPC5;VPS37B;LIME1;PNRC2;TPST2;PINK1;ID2;CD7;SIDT1
TBX5 21415370 ChIP-Seq HL-1 Mouse,26/1561,0.007078045,0.049410196,0,0,1.778014901,8.802520794,CITED2;ITGB3;AK3;FURIN;ABCB9;CROT;LITAF;OAZ2;ICAM1;RAP1B;PODNL1;ORMDL3;PMVK;OSTF1;BAK1;CTSD;ANXA2;APAF1;GALNT2;ITPK1;RHOC;DUSP7;RNF125;PRPF18;MXD1;VAMP5
GATA2 21186366 ChIP-Seq BM-HSCs Mouse,25/1495,0.007855822,0.054317399,0,0,1.781341108,8.633270289,L3MBTL3;TBC1D9B;CITED2;ITGB3;ARHGAP18;GSTT2;PRDM1;FOXO3;LYST;ACTG1;RAP1B;GLIPR1;GNA15;DDT;SESN1;ANXA6;APAF1;IFNGR1;ITPK1;HPCAL1;UBE2G2;TEX2;RAET1E;ID2;RIN3
NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation,44/3084,0.008317181,0.056964845,0,0,1.554993252,7.447534253,HIP1;CSF1;WIPF1;INPP1;ITPR1;SLA;GSTT2;AK3;GLRX;PRDM1;FOXO3;HIF1A;LITAF;ICAM1;ACTG1;RGS3;RNF138;IRAK2;SESN1;CCL5;PMVK;EPSTI1;EFHD2;SNX9;JAK2;BID;S100A10;DUSP5;PRELID1;ANXA2;IFNGR1;GALNT2;APLP2;SH2D3C;HPCAL1;HIP1R;ARPC5;VPS37B;RHOC;TEX2;DNAJC15;MAF;VAMP5;SNTB2
KLF6 26769127 Chip-Seq PDAC-Cell Line Human,27/1666,0.008623097,0.058508117,0,0,1.729332351,8.220054412,HIF1A;RAP1B;EFHD2;GBP2;CTSD;S100A11;S100A10;DUSP5;KDM4A;UBE2H;DGAT1;APLP2;HPCAL1;HIP1R;TRAFD1;VPS37B;TEX2;ASRGL1;PNRC2;PINK1;EHBP1L1;S100A6;RIN3;S100A4;ASB2;ATF6;TMEM229B
PU.1 20513432 ChIP-Seq MACROPHAGES Mouse,25/1509,0.008788209,0.059076291,0,0,1.763188294,8.347540616,TBC1D9B;LYST;ANXA6;SNX9;OSTF1;BID;CDK5RAP3;ENTPD1;UBE2H;ANXA2;DGAT1;TMEM120A;SH2D3C;TEX2;DNAJC15;SORL1;DUSP7;RNF125;ID2;EHBP1L1;CD7;PLEKHO2;EIF4E2;ATF6;SIPA1
TP63 23658742 ChIP-Seq EP156T Human,42/2937,0.009637356,0.064190093,0,0,1.552239785,7.20566554,L3MBTL3;CSF1;ARHGAP18;AK3;ABCB9;PRDM1;SLA2;FOXO3;HIF1A;LYST;RCBTB2;RAP1B;SESN1;PMVK;EPSTI1;NCK2;OSTF1;CCR5;JAK2;KDM4A;ANXA2;IFNGR1;GALNT2;APLP2;F2R;HPCAL1;TRIP4;NBEAL2;UBE2G2;ARPC5;TEX2;DNAJC15;SORL1;DUSP7;TMEM154;TPST2;RAET1E;MAF;ID2;IL2RB;RIN3;ASB2
ZNF217 24962896 ChIP-Seq MCF-7 Human,22/1289,0.00998286,0.065442132,0,0,1.807889113,8.328738507,DUSP5;UBE2H;ANXA2;WIPF1;CITED2;ITPK1;ITPR1;UBE2G2;PRDM1;HIF1A;LITAF;SYTL2;RAP1B;PRPF18;RGS3;MAF;ID2;SPATA13;SIDT1;S100A11;S100A10;SNTB2
PPARG 20176806 ChIP-Seq 3T3-L1 Mouse,23/1369,0.010136225,0.065442132,0,0,1.781558247,8.180273523,HIP1;DGAT1;CITED2;GALNT2;APLP2;TMEM120A;ITPK1;ITPR1;ARHGAP18;PRDM1;VPS37B;TEX2;OAZ2;TMEM154;RNF125;PODNL1;MAF;NCK2;ANO10;SNX9;BID;MXD1;GBP2
PPARG 20887899 ChIP-Seq 3T3-L1 Mouse,40/2774,0.010163766,0.065442132,0,0,1.560534016,7.161175471,UNC119B;NARF;CITED2;NGLY1;ITPR1;GSTT2;GLRX;CROT;PRDM1;WDR45;HIF1A;LYST;LITAF;SH3BGRL;IRAK2;ORMDL3;EPSTI1;NCK2;CIR1;BID;GBP2;S100A11;S100A10;DUSP5;KDM4A;ANXA2;GALNT2;APLP2;ITPK1;ARPC5;VPS37B;DNAJC15;VAMP8;RNF125;MAF;RANBP10;ZYX;MXD1;EIF4E2;SNTB2
HAND2 30127528 ChIP-Seq KELLY Human Brain Neuroblastoma,47/3383,0.010185897,0.065442132,0,0,1.516057742,6.953779683,UNC119B;TBC1D9B;ITPR1;SLA;GLRX;TAPBPL;CROT;FOXO3;HIF1A;LYST;LITAF;OAZ2;PLD3;RGS3;SESN1;ORMDL3;PMVK;CASP4;CASP1;NCK2;BAK1;IL12RB1;BID;CDK5RAP3;S100A11;DUSP5;NMB;ANXA2;DGAT1;IFNGR1;GALNT2;APLP2;TMEM120A;SH2D3C;HPCAL1;TRIP4;TRAFD1;NBEAL2;TEX2;SORL1;ID2;SPATA13;S100A6;S100A4;MXD1;ASB2;ATF6
SOX2 19030024 ChIP-ChIP MESCs Mouse,13/625,0.010369337,0.066036303,0,0,2.179616232,9.958453414,NMB;SH2D3C;UBE2G2;VPS37B;WDR45;ASRGL1;RCBTB2;DOK2;PINK1;RNF125;MAF;HLTF;MXD1
ARNT 22903824 ChIP-Seq MCF-7 Human,16/846,0.011120871,0.070206542,0,0,1.987427973,8.941302649,L3MBTL3;WIPF1;CITED2;ITPK1;TRAFD1;UBE2G2;PRDM1;LYST;LITAF;SORL1;SESN1;CD7;SIDT1;S100A4;ASB2;TMEM229B
SMC4 20622854 ChIP-Seq HELA Human,25/1544,0.011522555,0.072115302,0,0,1.719270197,7.673874583,HIP1;CSF1;ITGB3;SLA;GIMAP4;FURIN;OAZ2;PSTPIP1;CCL5;ORMDL3;PMVK;EFHD2;CDK5RAP3;S100A11;S100A10;UBE2H;SH2D3C;TRIP4;UBE2G2;ASRGL1;SYTL2;DUSP7;PNRC2;UNC119;SIPA1
FLI1 26923725 Chip-Seq MACROPHAGESS Mouse,24/1473,0.012336364,0.076548723,0,0,1.726990401,7.590474976,DUSP5;DGAT1;WIPF1;GALNT2;IL10RA;SH2D3C;HPCAL1;HIP1R;TRAFD1;ABCB9;GIMAP5;VPS37B;FOXO3;LITAF;OAZ2;RCBTB2;SYTL2;VAMP8;MAF;IRAK2;PMVK;EFHD2;UNC119;CDK5RAP3
GFI1B 20887958 ChIP-Seq HPC-7 Mouse,24/1475,0.012526463,0.076805256,0,0,1.724422029,7.552816447,CTSA;PRELID1;NARF;CITED2;ITGB3;TRIP4;UBE2G2;ARPC5;RHOC;RCBTB2;DUSP7;RNF125;RNF138;IRAK2;SESN1;HLTF;ZYX;RAB19;RIN3;JAK2;EIF4E2;MYO1F;CCR2;SNTB2
HIF1A 21447827 ChIP-Seq MCF-7 Human,7/248,0.012589291,0.076805256,0,0,2.943542665,12.87773051,NARF;MAF;CITED2;SLA;SLC2A3;PRDM1;S100A10
NR3C1 34362910 ChIP-Seq WistarRat Hippocampus,13/647,0.01351124,0.081018913,0,0,2.101570539,9.045650037,KDM4A;HIP1;SH2D3C;ITPR1;FOXO3;LYST;PRPF18;RGS3;SESN1;RIN3;SNX9;BAK1;SIPA1
ERG 20887958 ChIP-Seq HPC-7 Mouse,24/1486,0.013614748,0.081018913,0,0,1.710421589,7.349000183,DUSP5;TBC1D9B;NARF;IFNGR1;GALNT2;ITGB3;NGLY1;HPCAL1;ITPR1;UBE2G2;ARPC5;HIF1A;CENPA;TMEM154;DOK2;PSTPIP1;SNX2;RNF138;CHMP1B;SESN1;PMVK;S100A4;EIF4E2;SNTB2
TCFCP2L1 18555785 ChIP-Seq MESCs Mouse,24/1486,0.013614748,0.081018913,0,0,1.710421589,7.349000183,TBC1D9B;HIP1;NARF;CITED2;GMFG;IL10RA;CROT;RHOC;TEX2;HIF1A;LITAF;ASRGL1;SYTL2;TMEM154;ACTG1;RNF125;SESN1;HLTF;EFHD2;UNC119;OSTF1;CTSD;SIPA1;SNTB2
